Time (s)	Acceleration x (m/s^2)	Acceleration y (m/s^2)	Acceleration z (m/s^2)	Absolute acceleration (m/s^2)
4.1890215	-0.324375458	3.267405396	8.618627472	9.22290068
4.1990115	-0.328866119	3.260070648	8.689579926	9.286819307
4.2090025	-0.343385925	3.228336639	8.827592926	9.405661498
4.2189935	-0.284109192	3.157084808	9.010512543	9.551818612
4.2289845	-0.177231445	3.046764221	9.240434418	9.731382812
4.2389755	-0.155376892	2.923121338	9.48472641	9.926168214
4.2489665	-0.207618256	2.7391539	9.816286926	10.1934076
4.2589575	-0.245788879	2.526296539	10.162966	10.47513553
4.2689475	-0.275876312	2.286495209	10.53748718	10.78623216
4.2789385	-0.334254913	2.093097382	10.8835675	11.08804873
4.2889295	-0.315992889	1.974843292	11.13594269	11.31410965
4.2989205	-0.25387207	1.990111542	11.28428421	11.46124187
4.3089115	-0.185913391	2.198927307	11.23024658	11.44501129
4.3189025	-0.166902924	2.474953308	10.87503525	11.1543553
4.3288935	-0.137563934	2.67478775	10.33046768	10.67201836
4.3388845	-0.091908875	2.853216705	9.859247589	10.26421238
4.3488745	-0.017962646	2.924468536	9.473799133	9.914923545
4.3588655	0.073048096	2.856809235	9.361083527	9.787572724
4.3688565	0.157771912	2.796634369	9.62977478	10.02888918
4.3788475	0.12992981	2.680924988	10.29005173	10.63435024
4.3888385	0.018112335	2.491718445	11.07127716	11.34822307
4.3988295	-0.199834442	2.282603302	11.8656752	12.08488559
4.4088205	-0.440384216	2.10851532	12.49900818	12.68325591
4.4188105	-0.703087921	1.976340179	12.74719208	12.91863611
